 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
   2	        299	000000000000012c000001900000012c0000012c000000000000012c0000012c0000019000000000000001900000012c000000c80000012c0000012c00000190000001900000019000000064000001900000000000000000000001900000000000000000	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000
   2	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000
   2	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000
   2	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000
   2	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000
   2	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000
   2	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000
   2	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000
   2	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000
   2	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000
   2	        302	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000064000000000000012c00000000000000c80000000000000000	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000
   2	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000
   2	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000
   2	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000
   2	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000
   2	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000
   2	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000	        418	000000000000012c00000190000000000000012c0000000000000000000000c800000190000001900000006400000000000001900000012c0000019000000190000001900000019000000190000000000000012c00000000000000c80000000000000000
