 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
   1	        316	0000012c000000000000000000000000000000c800000190000000640000019000000064000000c8000000c80000012c0000012c000000c80000012c000001900000019000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
   1	        329	0000012c000000000000000000000000000000640000019000000064000000c800000064000000c8000000c80000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c	        345	0000012c0000000000000000000000000000006400000190000000640000019000000064000000c80000012c0000012c0000012c0000012c0000012c000001900000000000000064000000c80000012c0000012c0000012c00000000000000c80000012c
